system	code	label	synonyms
WD	Q27868367	shiunkou	Kampo drug; shiun-ko; shiun-kou; shiun-kō; shiunko; shiunkou
WD	Q21558880	aortic valve repair	aortic valve repair; treatment of aortic regurgitation
WD	Q1752840	salutogenesis	factors favouring health; salutogenesis
WD	Q2933693	hepatolithiasis	hepatolithiasis; medical condition
WD	Q5832717	drug-induced lung disease	drug-induced lung disease
WD	Q1035645	in situ carcinoma	human disease; in situ carcinoma
WD	Q187656	relapsing polychondritis	Meyenburg-Altherr-Uehlinger syndrome; atrophic polychondritis; chondromalacia, systemic; chronic atrophic polychondritis; generalized chondromalacia; human disease; recurrent polychondritis; relapsing polychondritis; relapsing polychondritis: RP; systemic chondromalacia
WD	Q1500346	xanthelasma	medical condition; xanthelasma
WD	Q2395283	poisoning of Alexander Litvinenko	2006 fatal poisoning of a former FSB and KGB officer; poisoning of Alexander Litvinenko
WD	Q107417164	schoolgirl uniform fetishism	Schoolgirl fetish; schoolgirl uniform fetishism; sexy schoolgirl custome
WD	Q25098815	Terrien's marginal degeneration	Terrien's marginal degeneration; medical condition
WD	Q7128426	palmoplantar keratosis	Keratoderma, Palmoplantar; Keratosis palmaris et plantaris; Pajero's hand; Palmoplantar Keratoderma; acrokeratoderma; keratosis characterized by abnormal thickening of the palms and the soles; palmoplantar keratosis
WD	Q579890	DISC assessment	DISC; DISC Personality Test; DISC assessment; behaviour assessment tool based on the DISC theory
WD	Q6931137	Mucinous carcinoma	Mucinous carcinoma; medical condition
WD	Q5044163	carnosity	abnormal fleshy excrescence or tuberosity; carnosity
WD	Q18116794	genderfluid	fluidflux; fluxfluid; gender fluid; gender fluidity; gender identity which doesn't conform to fixed gender roles or varies over time, such as shifting between identifying as male, female, non-binary, agender; gender-fluid; gender-flux; genderfliux; genderfluid; genderfluid person; genderfluix; genderflux
WD	Q6137278	Prepatellar bursitis	Prepatellar bursitis; inflammation of the prepatellar bursa at the front of the knee
WD	Q1393097	Lazarus and Joannes Baptista Colloredo	Italian conjoined twins; Lazarus and Joannes Baptista Colloredo
WD	Q9358454	Thogal	Advanced Meditation Technique in the Tibetan Spiritual Dzogchen Tradition; Thogal
WD	Q6842567	Midline cervical cleft	Midline cervical cleft; medical condition; midline cervical cleft
WD	Q1555358	Gusher syndrome	Gusher syndrome
WD	Q3325848	Masson's trichrome stain	Biological staining procedure used in study of tissues; Masson's trichrome stain
WD	Q4301850	monocytopenia	medical condition; monocytopenia
WD	Q3326521	choreic movement	choreic movement; choreiform movement; human disease; rare choreic movement disorder
WD	Q17058556	Intradialytic parenteral nutrition	Intradialytic parenteral nutrition; medical intervention
WD	Q7971063	Warty dyskeratoma	Follicular dyskeratoma; Isolated Follicular Keratosis; Isolated dyskeratosis follicularis; Warty dyskeratoma; rare, usually solitary, benign epithelial tumor of the skin that appears to arise from a hair follicle. It usually develops in the head and neck region as a nodular lesion with a central keratotic plug; warty dyskeratoma
WD	Q2625993	Latrodectism	Latrodectism; illness caused by the bite of Latrodectus spiders (the black widow spider and related species)
WD	Q5018845	calciumopathy	Calcium channelopathy; calciumopathy; disease category
WD	Q6072950	iron deficiency	iron deficiency; plant disorder
WD	Q5172356	corpectomy	corpectomy; surgical removal of all or part of the vertebral body; vertebrectomy
WD	Q55781892	Fibulo-ulnar hypoplasia-renal anomalies syndrome	FIBULOULNAR APLASIA OR HYPOPLASIA WITH RENAL ABNORMALITIES; Fibulo-ulnar hypoplasia-renal anomalies syndrome; Saito-Kuba-Tsuruta syndrome; medical condition
WD	Q113144113	Polymenorrhagia	Polymenorrhagia; epimenorrhagia; frequent and heavy menstruation; polyhypermenorrhea
WD	Q1503727	Oppenheim's sign	Oppenheim's sign; medical condition
WD	Q1516888	inclusion-cell disease	Human disease; I-cell disease; ML II; MUCOLIPIDOSIS II ALPHA/BETA; Ml 2 Alpha/Beta; Mucolipidosis 2; Mucolipidosis Type II; N-acetylglucosamine 1-phosphotransferase deficiency; inclusion-cell disease; mcolipidosis II alpha/beta; mucolipidosis II
WD	Q5547625	Malouf syndrome	CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM; Cardiogenital Syndrome; Cardiomyopathy With Primary Testicular Failure; Cardiomyopathy, Congestive, With Hypergonadotropic Hypogonadism; Cardiomyopathy, Dilated, With Premature Ovarian Failure; Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome; Genital Anomaly With Cardiomyopathy; Malouf Syndrome; Malouf syndrome; Najjar syndrome; This syndrome is characterized by the association of dilated cardiomyopathy and hypergonadotropic hypogonadism (DCM-HH); dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome
WD	Q7908507	vaginal septum	human disease; vaginal septum
WD	Q16946733	phacodonesis	medical condition of the eyes; phacodonesis
WD	Q424300	abrupt coronary no flow	abrupt coronary no flow
WD	Q17125930	Hypodiploid acute lymphoblastic leukemia	Chromosome mutation of lukemic cells with 45 chromosomes or less; Hypodiploid acute lymphoblastic leukemia
WD	Q4826373	Autologous stem cell transplantation	Autologous stem cell transplantation; autogeneic; medical procedure in which stem cells are removed, stored, and then returned to the same person
WD	Q4677454	Activated clotting time	Activated clotting time; medical diagnostic method
WD	Q112130235	incurable disease	incurable disease; property of a disease that cannot be cured
WD	Q948056	dentine hypersensitivity	DHS; Human disease; Sensitive dentin; Sensitive dentin (disorder); dentin sensitivity; dentine hypersensitivity
WD	Q17151226	Neonatal bowel obstruction	Neonatal bowel obstruction; Perinatal intestinal obstruction; congenital disorder of digestive system
WD	Q699921	blackleg	black quarter; blackleg; emphysematous carbuncle; gangraena emphysematosa; infectious bacterial disease; quarter evil; quarter ill
WD	Q123243857	Leptocephaly	Leptocephaly; medical condition
WD	Q152401	foot-and-mouth disease	Epizootic stomatitis; FMD; aphthous fever; foot and mouth disease; foot-and-mouth disease; hoof-and-mouth disease; infectious and sometimes fatal viral disease that affects cloven-hoofed animals and caused by apthovirus; obsolete foot and mouth disease
WD	Q6940324	muscle tissue neoplasm	Neoplasms, Muscle Tissue; human disease; muscle tissue neoplasm; muscle tissue neoplasms
WD	Q840387	colonoscopy	colonoscopy; coloscopy; endoscopic examination of the large bowel and the distal part of the small bowel
WD	Q2853072	androtomy	Human dissection; androtomy; dissection of the human body
WD	Q7130382	Pancolitis	Human disease; Pancolitis; chronic universal ulcerative colitis; universal ulcerative (chronic) colitis; universal ulcerative colitis
WD	Q3042109	psychotic disharmony	psychotic disharmony
WD	Q5509198	funisitis	connective tissue disease that is an inflammation of the connective tissue of the umbilical cord; funisitis
WD	Q11289037	papillomatosis of eels	papillomatosis of eels
WD	Q6853	hepatitis B	Hepatitis B; Viral Hepatitis B; hepatitis B; hepatitis B infection; hepatitis type B; human viral infection; serum hepatitis
WD	Q54366472	MIRAGE syndrome	MIRAGE; MIRAGE syndrome; Mirage Syndrome; human disease; myelodysplasia, infection, restriction of growth, adrenal hypoplasia, genital phenotypes, and enteropathy syndrome
WD	Q63762876	Zanca syndrome	Zanca syndrome; Zanca's syndrome; congenital disorder of digestive system
WD	Q1476027	lymphangitis	Lymphangitis (disorder); Lymphangitis NOS; inflammation or an infection of the lymphatic channels that occurs as a result of infection at a site distal to the channel; lymphangitis; lymphatic vessel inflammation; lymphatic vesselitis
WD	Q6394223	Kernohan's notch	Kernohan's notch; Kernohan-Woltman syndrome; brain injury symptom
WD	Q3099563	Wood's lamp	Wood lamp examination; Wood's lamp; lamp to detect abnormalities of the eye
WD	Q1820048	Haarlem oil	Haarlem oil; Haarlemmerolie; dietary supplement; medicamentum gratia probatum
WD	Q461854	amelogenesis imperfecta	amelogenesis imperfecta; dental enamel hypoplasia characterized by abnormal enamel formation
WD	Q114870237	steam inhalation	steam inhalation; steam therapy
WD	Q1363926	childhood disease	childhood disease; disease mainly affecting children
WD	Q113412046	Noxacusis	Noxacusis; Pain Hyperacusis
WD	Q16536008	carbon-ion therapy	carbon-ion therapy; radiotherapy using carbon ions
WD	Q133850318	Obesity in Nigeria	Obesity in Nigeria; an emerging public health challenge
WD	Q97446527	care farming	care farming; therapeutic use of farming practices
WD	Q159557	coma	coma; state of unconsciousness
WD	Q60255194	80 years	80 years; maximum age
WD	Q1433654	virilization	biological development of male sex characteristics; masculinization; virilization
WD	Q221547	Coenurosis	Coenurosis; Helminthiasis; caenurosis; gid; sturdy
WD	Q6692784	Low-set ears	Clinical sign of congenital conditions; Low-set ears
WD	Q40103033	hemimegalencephaly	a rare disorder affecting development of one side of the brain; hemimegalencephaly; macrencephaly; unilateral megalencephaly
WD	Q20883885	laser coagulation	laser coagulation; use of green light-producing lasers to stop bleeding
WD	Q3332994	melomania	abnormal fondness of music; melomania
WD	Q1320101	nasal fracture	broken nose; medical condition; nasal fracture
WD	Q866622	bisphosphonate-associated osteonecrosis of the jaw	bisphosphonate-associated osteonecrosis of the jaw; disease
WD	Q11361295	leg injury	injury involving the leg; leg injuries; leg injury
WD	Q144838	foot amputation	foot amputation
WD	Q7644074	supernumerary kidney	additional kidney present in an organism; supernumerary kidney
WD	Q866602	multidrug-resistant tuberculosis	MDR TB; MDR-TB; Multidrug-Resistant TB; Vank's Disease; multidrug-resistant tuberculosis; multiple-drug-resistant tuberculosis; tuberculosis that is resistant to isoniazid and rifampicin, the two most powerful first-line anti-TB drugs
WD	Q112038644	AN/PSQ-42	AN/PSQ-42; Binocular night vision device; ENVG-B; PSQ-42
WD	Q55605588	bladder outlet decline	bladder outlet decline; decline in bladder outlet; disease in the bladder
WD	Q4769699	Annual ryegrass toxicity	Annual ryegrass toxicity
WD	Q17083190	cerebral atherosclerosis	Cerebral atherosclerosis; atheroma of cerebral arteries; cerebral atherosclerosis; type of atherosclerosis where build-up of plaque in the blood vessels of the brain occurs
WD	Q11703370	premature rupture of membranes	Human disease; antepartum premature rupture of membranes; delivered premature rupture of membranes; premature rupture of membranes; premature rupture of membranes - delivered (disorder); premature rupture of the fetal membranes
WD	Q1436684	rapid opiate detoxification	antagonist-induced opiate withdrawal under anaesthesia; rapid opiate detoxification
WD	Q2626291	postorgasmic illness syndrome	POIS; benign coital headache; human disease; post ejaculation sickness; post orgasmic sick syndrome; post-orgasmic illness syndrome; postejaculatory syndrome; postorgasm illness syndrome; postorgasmic illness syndrome
WD	Q16258124	Sinding-Larsen and Johansson syndrome	Aseptic necrosis of patella; Osteochondrosis of patella; Sinding-Larsen and Johansson syndrome; Sinding-Larsen-Johansson disease is a type of osteochondrosis affecting the attachment of the patellar tendon to the patella and characterised by tenderness and localized swelling of the patella
WD	Q23037768	beta-lactam allergy	allergy of beta-lactam; beta-lactam allergy; drug allergy triggered by a beta-lactam; β-lactam allergy; β-lactam antibiotics allergy
WD	Q3144667	heliotherapy	heliotherapy; treatment of disease by exposing the body to sunlight
